Performance,Categories,Price,On_Sale,Capacity,Theater,Ticket_Type,Show_Duration,Address,Show_Name
"""2017-09-23T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,69,135,129,155,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-09-25T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","45,45,69,135,119,59,89,145,99,79,89,89,45,89,79",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-09-26T19:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,45,69,135,119,59,89,145,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-09-27T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,45,69,135,119,59,89,145,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-09-28T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,45,69,135,119,59,89,145,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-09-28T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,45,69,135,119,59,89,145,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-09-29T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,69,135,129,155,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-09-30T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,69,135,129,155,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-03T19:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-04T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
