Performance,Categories,Price,On_Sale,Capacity,Theater,Ticket_Type,Show_Duration,Address,Show_Name
"""2017-09-30T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,69,135,129,155,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-05T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-05T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-06T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-02T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-07T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-07T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-09T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-10T19:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-11T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-12T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-12T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-13T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-14T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-14T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-16T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-17T19:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-18T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-19T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-19T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-20T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-21T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-21T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-23T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","45,145,135,45,69,119,59,89,99,79,89,89,45,89,79",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-24T19:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-25T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-26T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-26T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","29,145,135,45,69,119,59,89,99,79,89,89,29,89,79,29",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-27T20:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
"""2017-10-28T14:00:00-04:00""","""Award Winning, Broadway, Classics, Drama, Musicals""","55,155,135,69,129,79,99,55,79,89,89,89,89,79,55",true,1607,"""Majestic Theatre""","""Standard"",""Orchestra"",""Front Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Rear Mezzanine"",""Rear Mezzanine"",""Orchestra"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine"",""Front Mezzanine"",""Orchestra"",""Rear Mezzanine""","""2hrs, 30mins""","""247 West 44th Street""","""The Phantom of the Opera"""
