Capacity,Ticket_Type,Price,Show_Duration,On_Sale,Theater,Address,Performance,Show_Name,Categories
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-10-28T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-10-29T15:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,749,250,749,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-10-30T19:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Premium"",""Orchestra""","749,749","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-01T14:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,749,250,749,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-01T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,749,250,749,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-02T19:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-03T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-04T14:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","250,849,250,849,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-04T20:00:00-04:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","250,250,250","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-05T15:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
